"ProcessName","Path","Id"
"NahimicSvc32","C:\WINDOWS\SysWOW64\NahimicSvc32.exe","15120"
"NahimicSvc64","C:\WINDOWS\system32\NahimicSvc64.exe","15100"
"NordUpdateService",,"5840"
"nordvpn-service",,"4988"
"NvBroadcast.Container",,"5848"
"NvBroadcast.Container",,"13200"
"nvcontainer",,"5672"
"nvcontainer","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","9200"
"nvcontainer","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","11536"
"nvcontainer",,"13208"
"NVDisplay.Container",,"3244"
"NVDisplay.Container",,"13192"
"NVIDIA Broadcast","C:\Program Files\NVIDIA Corporation\NVIDIA Broadcast\NvVirtualCamera\NVIDIA Broadcast.exe","19444"
"NVIDIA Broadcast UI","C:\Program Files\NVIDIA Corporation\NVIDIA Broadcast\NVIDIA Broadcast UI.exe","13576"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","20440"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","20928"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","20996"
"NVIDIA Web Helper","C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe","11868"
"nvsphelper64",,"20408"
"OCControl.Service",,"10132"
"OfficeClickToRun",,"5616"
"OneApp.IGCC.WinService",,"5624"
"OneDrive","C:\Users\nico\AppData\Local\Microsoft\OneDrive\OneDrive.exe","3468"
"PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23022.140.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","2020"
"powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","31488"
"PowerToys","C:\Program Files\PowerToys\PowerToys.exe","14684"
"PowerToys.AlwaysOnTop","C:\Program Files\PowerToys\modules\AlwaysOnTop\PowerToys.AlwaysOnTop.exe","16136"
"PowerToys.ColorPickerUI","C:\Program Files\PowerToys\modules\ColorPicker\PowerToys.ColorPickerUI.exe","13644"
"PowerToys.FancyZones","C:\Program Files\PowerToys\modules\FancyZones\PowerToys.FancyZones.exe","16176"
"PowerToys.KeyboardManagerEngine","C:\Program Files\PowerToys\modules\KeyboardManager\KeyboardManagerEngine\PowerToys.KeyboardManagerEngine.exe","16212"
"PowerToys.PowerLauncher","C:\Program Files\PowerToys\modules\launcher\PowerToys.PowerLauncher.exe","13828"
"PowerToys.PowerOCR","C:\Program Files\PowerToys\modules\PowerOCR\PowerToys.PowerOCR.exe","11064"
"PresentationFontCache",,"13332"
"PtSessionAgent","C:\Program Files\Trend Micro\Titanium\plugin\Pt\PtSessionAgent.exe","18060"
"PtSvcHost",,"5680"
"PtWatchDog",,"6544"
"pwsh","C:\Program Files\PowerShell\7\pwsh.exe","13052"
"Razer Central","C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe","21964"
"Razer Synapse 3","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe","21116"
"Razer Synapse Service",,"9816"
"Razer Synapse Service Process","C:\Program Files (x86)\Razer\Synapse3\Service\..\UserProcess\Razer Synapse Service Process.exe","6208"
"RazerCentralService",,"5724"
"Registry",,"216"
"remoting_host",,"5596"
"remoting_host",,"7364"
"RstMwService",,"5708"
"RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_719a4f3eb3c3c65a\RtkAudUService64.exe","4980"
"RtkAudUService64",,"5816"
"RtkAudUService64",,"14308"
"rundll32",,"6980"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11012"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11400"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","15256"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","18076"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","20536"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","23952"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","32140"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","37560"
"RzChromaStreamServer",,"5700"
"RzSDKServer",,"5736"
"RzSDKService",,"5716"
"Screen Recorder Launcher","C:\Program Files (x86)\Screen Recorder Launcher\Screen Recorder Launcher.exe","33948"
"SearchFilterHost",,"35088"
"SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","25400"
"SearchIndexer",,"13452"
"SearchProtocolHost",,"19628"
"SecurityHealthService",,"14304"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","17152"
"services",,"1700"
"ServiceShell",,"6052"
"SgrmBroker",,"18612"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","31972"
"sihost","C:\WINDOWS\system32\sihost.exe","12844"
"slack","C:\Users\nico\AppData\Local\slack\app-4.31.155\slack.exe","5052"
"slack","C:\Users\nico\AppData\Local\slack\app-4.31.155\slack.exe","13000"
"slack","C:\Users\nico\AppData\Local\slack\app-4.31.155\slack.exe","17700"
"slack","C:\Users\nico\AppData\Local\slack\app-4.31.155\slack.exe","19992"
"slack","C:\Users\nico\AppData\Local\slack\app-4.31.155\slack.exe","30380"
"slack","C:\Users\nico\AppData\Local\slack\app-4.31.155\slack.exe","34164"
"smss",,"1104"
"som_nl","C:\Users\nico\AppData\Local\InstructureMedia-v2\som_nl.exe","32136"
"spoolsv",,"4912"
"Spotify","C:\Users\nico\AppData\Roaming\Spotify\Spotify.exe","19876"
"Spotify","C:\Users\nico\AppData\Roaming\Spotify\Spotify.exe","19988"
"Spotify","C:\Users\nico\AppData\Roaming\Spotify\Spotify.exe","20216"
"Spotify","C:\Users\nico\AppData\Roaming\Spotify\Spotify.exe","21060"
"Spotify","C:\Users\nico\AppData\Roaming\Spotify\Spotify.exe","21140"
